"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,42.069918,137.438059,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,42.542312,162.976107,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,44.836188,270.062278,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,41.718158,46.718390,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,45.420816,144.623011,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,41.738041,171.510402,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,40.275885,82.476692,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,41.590635,111.370516,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,43.859039,105.350424,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,43.784964,104.518320,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,170414.740409,40264.841505,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,404941.573585,89881.299702,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,638644.492443,48827.218593,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,800646.448243,99663.719074,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1113353.335551,1520199.203617,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1279691.080684,44095.816936,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1500353.792076,74009.762278,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1698366.716428,13626.732658,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1912799.715909,33621.100137,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,2140599.952030,56206.723411,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,496.468258,520.053081,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,912.375587,8.119541,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,1439.755922,99.940068,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,1794.113642,28.728334,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,2325.321055,1254.987678,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,2735.400870,118.382735,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,3194.699427,61.220990,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,3638.449323,801.146672,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,4346.892891,9237.964878,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,4606.752381,2176.757002,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,503.607473,59.478290,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,959.641197,363.603116,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,1428.958805,83.992685,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,1796.257914,147.082542,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,2300.945342,252.213297,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,2740.184875,174.753251,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,3196.137880,134.848913,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,3609.860887,59.186648,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,4090.564787,851.664869,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,4486.538612,65.974182,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.942571,0.010507,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.956927,0.261927,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,22.913983,169.238119,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,2.330493,5.060374,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.973851,0.259357,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.976084,0.611537,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.994573,0.490134,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.976668,0.581889,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.971052,0.292043,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.959375,0.246466,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,191675.697670,8872.406770,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,391189.465023,21554.305315,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,560145.662124,18856.358231,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,766534.508328,13603.314843,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,980102.925327,23206.381628,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1163437.529973,9509.053009,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1310183.542314,6595.415815,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1841484.449390,15992.009503,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1667686.279233,31158.775260,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1874421.378016,217609.656527,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,184433.519930,23182.180399,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,396081.778347,55116.759935,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,601948.380302,73794.772887,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,830293.155596,226921.067587,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,1038232.262218,52235.340546,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,1395276.575217,2411656.869765,"ns/op",60000
