Benchmark;Size;Score (ns/op)
"testAdd";10000;42.069917807038195
"testAdd";20000;42.54231197205877
"testAdd";30000;44.836188214854836
"testAdd";40000;41.71815802364904
"testAdd";50000;45.42081647977138
"testAdd";60000;41.73804076382992
"testAdd";70000;40.27588454515976
"testAdd";80000;41.590634718286175
"testAdd";90000;43.859039014641844
"testAdd";100000;43.78496375599908
"testAddAll";10000;170414.7404086154
"testAddAll";20000;404941.5735851246
"testAddAll";30000;638644.4924433535
"testAddAll";40000;800646.4482425364
"testAddAll";50000;1113353.335551228
"testAddAll";60000;1279691.0806840034
"testAddAll";70000;1500353.792075856
"testAddAll";80000;1698366.7164278373
"testAddAll";90000;1912799.715909091
"testAddAll";100000;2140599.9520304035
"testCapacityAndComparatorConstructor";10000;496.4682579003306
"testCapacityAndComparatorConstructor";20000;912.3755869570649
"testCapacityAndComparatorConstructor";30000;1439.7559224965469
"testCapacityAndComparatorConstructor";40000;1794.1136420074063
"testCapacityAndComparatorConstructor";50000;2325.321054688333
"testCapacityAndComparatorConstructor";60000;2735.4008703485047
"testCapacityAndComparatorConstructor";70000;3194.699427415375
"testCapacityAndComparatorConstructor";80000;3638.449323000908
"testCapacityAndComparatorConstructor";90000;4346.892891477301
"testCapacityAndComparatorConstructor";100000;4606.752381346859
"testCapacityConstructor";10000;503.60747342409223
"testCapacityConstructor";20000;959.6411966362793
"testCapacityConstructor";30000;1428.958804702812
"testCapacityConstructor";40000;1796.2579139346942
"testCapacityConstructor";50000;2300.9453421404223
"testCapacityConstructor";60000;2740.1848746116398
"testCapacityConstructor";70000;3196.137879873035
"testCapacityConstructor";80000;3609.8608865896513
"testCapacityConstructor";90000;4090.5647866522254
"testCapacityConstructor";100000;4486.538611763419
"testClear";10000;1.9425710964460121
"testClear";20000;1.956926535213988
"testClear";30000;22.913983151990735
"testClear";40000;2.3304925515764263
"testClear";50000;1.9738507418744398
"testClear";60000;1.9760844854139634
"testClear";70000;1.994573215703216
"testClear";80000;1.976668066762559
"testClear";90000;1.9710520019146065
"testClear";100000;1.959374630123402
"testCollectionAndComparatorConstructor";10000;191675.69767048882
"testCollectionAndComparatorConstructor";20000;391189.46502338845
"testCollectionAndComparatorConstructor";30000;560145.6621237849
"testCollectionAndComparatorConstructor";40000;766534.508327777
"testCollectionAndComparatorConstructor";50000;980102.9253273107
"testCollectionAndComparatorConstructor";60000;1163437.529973339
"testCollectionAndComparatorConstructor";70000;1310183.542314335
"testCollectionAndComparatorConstructor";80000;1841484.4493897345
"testCollectionAndComparatorConstructor";90000;1667686.2792331756
"testCollectionAndComparatorConstructor";100000;1874421.3780159354
"testCollectionConstructor";10000;184433.51993009204
"testCollectionConstructor";20000;396081.7783471341
"testCollectionConstructor";30000;601948.380301847
"testCollectionConstructor";40000;830293.1555963382
"testCollectionConstructor";50000;1038232.2622184284
"testCollectionConstructor";60000;1395276.5752171562
"testCollectionConstructor";70000;1659629.496751391
"testCollectionConstructor";80000;1717682.9612046417
"testCollectionConstructor";90000;2047038.4865510557
"testCollectionConstructor";100000;2154960.2954526003
"testComparator";10000;0.544774466194618
"testComparator";20000;0.6065116988680943
"testComparator";30000;0.6188317870447638
"testComparator";40000;0.5946375076036535
"testComparator";50000;0.5255143858963222
"testComparator";60000;0.5258616528285714
"testComparator";70000;0.5240343538812187
"testComparator";80000;0.5271308846744823
"testComparator";90000;0.5842133036842064
"testComparator";100000;0.6439894472294296
"testComparatorConstructor";10000;4.590629748612882
"testComparatorConstructor";20000;4.829610341492414
