Size;Constructor();Constructor(int);Constructor(Comparator);Constructor(int, Comparator);Constructor(Collection);Constructor(Collection, Comparator);add(E);addAll(Collection);clear();comparator();contains(Object);containsAll(Collection);element();isEmpty();iterator();offer(E);peek();poll();remove(Object);removeAll(Collection);retainAll(Collection);size();toArray();toArray(T[])
10000;5;504;5;496;184434;191676;42;170415;2;1;2766;120849;1;1;1337;44;1;1;2;520513;522103;1;1133;5989
20000;5;960;5;912;396082;391189;43;404942;2;1;7178;284159;1;1;2743;38;1;1;2;1118821;1102307;1;1726;11083
30000;5;1429;5;1440;601948;560146;45;638644;23;1;10982;408600;1;1;4023;43;1;1;3;1619552;1622061;1;3305;18400
40000;5;1796;5;1794;830293;766535;42;800646;2;1;14308;1277350;1;1;5501;43;1;2;5;2262125;2275467;1;3323;22417
50000;5;2301;5;2325;1038232;980103;45;1113353;2;1;16024;663296;1;1;6713;39;1;1;20;2804512;2760676;1;5726;29926
60000;5;2740;5;2735;1395277;1163438;42;1279691;2;1;21553;840163;1;1;8030;44;1;1;14395;3288497;3262371;1;7087;34660
70000;5;3196;5;3195;1659629;1310184;40;1500354;2;1;20241;1091822;1;1;9422;41;1;1;18877;4004255;3891305;1;8218;39085
80000;5;3610;5;3638;1717683;1841484;42;1698367;2;1;23632;1334092;1;1;10958;44;1;1;21514;4667665;4540568;1;9111;45032
90000;5;4091;5;4347;2047038;1667686;44;1912800;2;1;26622;1454635;1;1;12040;43;1;1;23338;5192286;5269709;1;10404;54401
100000;5;4487;5;4607;2154960;1874421;44;2140600;2;1;27021;1381584;1;1;13370;47;1;1;27362;5188346;5268904;1;11114;56091
