Benchmark;Size;Score (ns/op)
"testAdd";10000;41.55942300224885
"testAdd";20000;39.080914499505205
"testAdd";30000;45.60705686164575
"testAdd";40000;39.763037703228235
"testAdd";50000;43.977121670493
"testAdd";60000;45.386903664243654
"testAdd";70000;41.001769501010926
"testAdd";80000;48.233034181904515
"testAdd";90000;48.26029327440148
"testAdd";100000;50.069382755008725
"testAddAll";10000;183261.4805074525
"testAddAll";20000;404927.4611188289
"testAddAll";30000;652133.8633171241
"testAddAll";40000;954592.5688045876
"testAddAll";50000;1081845.2467468393
"testAddAll";60000;1285291.0388290489
"testAddAll";70000;1625742.5878025105
"testAddAll";80000;1735250.558731898
"testAddAll";90000;1932262.7948999803
"testAddAll";100000;2463814.149378435
"testCapacityAndComparatorConstructor";10000;522.8925691610416
"testCapacityAndComparatorConstructor";20000;1087.1232547240018
"testCapacityAndComparatorConstructor";30000;1656.0004183760122
"testCapacityAndComparatorConstructor";40000;2522.196879432263
"testCapacityAndComparatorConstructor";50000;2576.9705726470943
"testCapacityAndComparatorConstructor";60000;2961.5130881047785
"testCapacityAndComparatorConstructor";70000;3640.2826586963542
"testCapacityAndComparatorConstructor";80000;3609.41580009593
"testCapacityAndComparatorConstructor";90000;4101.604844895183
"testCapacityAndComparatorConstructor";100000;4443.18685378561
"testCapacityConstructor";10000;477.90723554194295
"testCapacityConstructor";20000;904.796919924817
"testCapacityConstructor";30000;1440.3884375536784
"testCapacityConstructor";40000;1776.5065207059927
"testCapacityConstructor";50000;2279.533772965841
"testCapacityConstructor";60000;2717.1393826531644
"testCapacityConstructor";70000;3179.5169522919646
"testCapacityConstructor";80000;3583.215815588485
"testCapacityConstructor";90000;4046.4375539597
"testCapacityConstructor";100000;4435.019906466322
"testClear";10000;1.9427597623481343
"testClear";20000;1.9531094654693326
"testClear";30000;1.9430287630323972
"testClear";40000;1.9442047326063394
"testClear";50000;1.9440364936912384
"testClear";60000;1.9427058864476088
"testClear";70000;1.94369172544798
"testClear";80000;1.9433151650703844
"testClear";90000;1.9447561482948226
"testClear";100000;1.942808047206093
"testCollectionAndComparatorConstructor";10000;205186.566292465
"testCollectionAndComparatorConstructor";20000;391441.22211803775
"testCollectionAndComparatorConstructor";30000;588523.8387637336
"testCollectionAndComparatorConstructor";40000;923376.9926451162
"testCollectionAndComparatorConstructor";50000;971018.49018909
"testCollectionAndComparatorConstructor";60000;1168363.6922668435
"testCollectionAndComparatorConstructor";70000;1313292.5683697483
"testCollectionAndComparatorConstructor";80000;1519612.601476019
"testCollectionAndComparatorConstructor";90000;1738444.973154655
"testCollectionAndComparatorConstructor";100000;1889059.4569055473
"testCollectionConstructor";10000;173969.0066935706
"testCollectionConstructor";20000;399529.8377211437
"testCollectionConstructor";30000;600593.7184957771
"testCollectionConstructor";40000;820501.6006493507
"testCollectionConstructor";50000;1036402.4427114222
"testCollectionConstructor";60000;1224198.2687164706
"testCollectionConstructor";70000;1428315.0550798655
"testCollectionConstructor";80000;1693414.889293399
"testCollectionConstructor";90000;1871768.408837866
"testCollectionConstructor";100000;2063983.331972789
"testComparator";10000;0.5369368052951616
"testComparator";20000;0.524387249438325
"testComparator";30000;0.5409120371643998
"testComparator";40000;0.5438918328273826
"testComparator";50000;0.5245093823571069
"testComparator";60000;0.5244825039398103
"testComparator";70000;0.5247122953460833
"testComparator";80000;0.5246762078646089
"testComparator";90000;0.5248039601325449
"testComparator";100000;0.5247074829051753
"testComparatorConstructor";10000;4.466326344288548
"testComparatorConstructor";20000;4.639029602421836
"testComparatorConstructor";30000;4.478816898907583
"testComparatorConstructor";40000;4.484901518278051
"testComparatorConstructor";50000;4.49232698392066
"testComparatorConstructor";60000;4.494417513753987
"testComparatorConstructor";70000;4.491448235490303
"testComparatorConstructor";80000;4.570045204028193
"testComparatorConstructor";90000;4.558658797615708
"testComparatorConstructor";100000;4.481592562313572
"testContains";10000;2887.3725136996945
"testContains";20000;6995.448102953292
"testContains";30000;10694.868103230603
"testContains";40000;13074.730394387383
"testContains";50000;14759.824947551118
"testContains";60000;20009.656265863257
"testContains";70000;20046.107068548343
"testContains";80000;25237.908884060034
"testContains";90000;26300.158795962034
"testContains";100000;26901.324460724736
"testContainsAll";10000;122572.62521357341
"testContainsAll";20000;275516.91015540663
"testContainsAll";30000;390713.2285743539
"testContainsAll";40000;636597.0921021425
"testContainsAll";50000;612560.5401452294
"testContainsAll";60000;772745.118356889
"testContainsAll";70000;996503.96631623
"testContainsAll";80000;1168948.1631317334
"testContainsAll";90000;1383565.3835389602
"testContainsAll";100000;1257558.7672082584
"testDefaultConstructor";10000;4.531320581188659
"testDefaultConstructor";20000;4.527147493203606
"testDefaultConstructor";30000;4.542051423149147
"testDefaultConstructor";40000;4.533682541677597
"testDefaultConstructor";50000;4.541895612000392
"testDefaultConstructor";60000;4.539311272254508
"testDefaultConstructor";70000;4.601541893250702
"testDefaultConstructor";80000;4.544466014770919
"testDefaultConstructor";90000;4.511079051840284
"testDefaultConstructor";100000;4.525872521986009
"testElement";10000;0.9620934072128587
"testElement";20000;0.9742492557612735
"testElement";30000;0.9607221750961319
"testElement";40000;0.9497831589277675
"testElement";50000;0.9507806584707158
"testElement";60000;0.9548327666538082
"testElement";70000;0.9590777052833398
"testElement";80000;0.9524022982522192
"testElement";90000;0.9467379339882225
"testElement";100000;0.9507120049813098
"testIsEmpty";10000;0.7346532738879259
"testIsEmpty";20000;0.734182147614416
"testIsEmpty";30000;0.7358072358507424
"testIsEmpty";40000;0.7475650759359329
"testIsEmpty";50000;0.734528826224751
"testIsEmpty";60000;0.7347332134589725
"testIsEmpty";70000;0.7380638359941853
"testIsEmpty";80000;0.7350992586532801
"testIsEmpty";90000;0.738536286270366
"testIsEmpty";100000;0.7336133426269026
"testIterator";10000;1340.9216190824027
"testIterator";20000;2683.455804196978
"testIterator";30000;4026.826826752246
"testIterator";40000;5359.700120082422
"testIterator";50000;6707.179190106472
"testIterator";60000;8041.573824802271
"testIterator";70000;9407.04470858667
"testIterator";80000;10691.287541661472
"testIterator";90000;12013.195448721033
"testIterator";100000;13337.086617081733
"testOffer";10000;42.16830463560512
"testOffer";20000;42.825443341067114
"testOffer";30000;40.55308784800645
"testOffer";40000;39.9461429174713
