Size;Constructor();Constructor(int);Constructor(Comparator);Constructor(int, Comparator);Constructor(Collection);Constructor(Collection, Comparator);add(E);addAll(Collection);clear();comparator();contains(Object);containsAll(Collection);element();isEmpty();iterator();offer(E);peek();poll();remove(Object);removeAll(Collection);retainAll(Collection);size();toArray();toArray(T[])
10000;5;478;4;523;173969;205187;42;183261;2;1;2887;122573;1;1;1341;42;1;1;2;509930;526570;1;1048;5707
20000;5;905;5;1087;399530;391441;39;404927;2;1;6995;275517;1;1;2683;43;1;1;3;1105350;1103883;1;1730;10934
30000;5;1440;4;1656;600594;588524;46;652134;2;1;10695;390713;1;1;4027;41;1;1;3;1614511;1594793;1;3291;17812
40000;5;1777;4;2522;820502;923377;40;954593;2;1;13075;636597;1;1;5360;40;1;1;5;2278724;2254588;1;3392;22116
50000;5;2280;4;2577;1036402;971018;44;1081845;2;1;14760;612561;1;1;6707;42;1;1;21;2697111;2760005;1;5615;29181
60000;5;2717;4;2962;1224198;1168364;45;1285291;2;1;20010;772745;1;1;8042;43;1;1;12869;3219440;3222146;1;6768;34436
70000;5;3180;4;3640;1428315;1313293;41;1625743;2;1;20046;996504;1;1;9407;39;1;1;17956;3857253;3895450;1;8105;39081
80000;5;3583;5;3609;1693415;1519613;48;1735251;2;1;25238;1168948;1;1;10691;43;1;1;19766;4537952;4544206;1;8909;52369
90000;5;4046;5;4102;1871768;1738445;48;1932263;2;1;26300;1383565;1;1;12013;43;1;1;22413;5205125;5121192;1;9752;57622
100000;5;4435;4;4443;2063983;1889059;50;2463814;2;1;26901;1257559;1;1;13337;44;1;1;27148;5188071;5258133;1;11136;59775
