"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,41.559423,70.751055,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,39.080914,14.821082,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,45.607057,210.907338,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,39.763038,207.558818,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,43.977122,105.845068,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,45.386904,215.782758,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,41.001770,98.605703,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,48.233034,14.989283,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,48.260293,137.554789,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAdd","avgt",1,3,50.069383,191.809067,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,183261.480507,76517.732830,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,404927.461119,55542.977867,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,652133.863317,159658.222904,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,954592.568805,2068020.808076,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1081845.246747,256732.484380,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1285291.038829,229994.499471,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1625742.587803,3040279.219575,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1735250.558732,375813.638271,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,1932262.794900,104308.677157,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testAddAll","avgt",1,3,2463814.149378,6170993.163380,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,522.892569,624.614974,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,1087.123255,2038.053247,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,1656.000418,707.128829,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,2522.196879,15484.034804,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,2576.970573,1441.912158,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,2961.513088,629.346808,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,3640.282659,4562.012156,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,3609.415800,994.882783,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,4101.604845,1541.148448,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityAndComparatorConstructor","avgt",1,3,4443.186854,88.237971,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,477.907236,41.585003,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,904.796920,54.722222,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,1440.388438,217.944894,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,1776.506521,1.941471,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,2279.533773,76.128311,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,2717.139383,69.468393,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,3179.516952,41.558177,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,3583.215816,348.773801,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,4046.437554,865.172611,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCapacityConstructor","avgt",1,3,4435.019906,138.303031,"ns/op",100000
